,N,P,M,G,L
0,1.0,0.7438951158488213,0.5500084261193758,0.30131541156734315,0.030384466825226646
1,1.0,0.7438951158488213,0.5500084261193758,0.030384466825226646,0.055462522444804575
2,1.0,0.7438951158488213,0.30131541156734315,0.40753387102886723,0.030384466825226646
3,1.0,0.7438951158488213,0.055462522444804575,0.030384466825226646,0.07501394087804555
4,1.0,0.7438951158488213,0.030384466825226646,0.40753387102886723,0.041095473079263034
5,1.0,0.7438951158488213,0.030384466825226646,0.041095473079263034,0.07501394087804555
6,1.0,0.5500084261193758,0.7393628676964614,0.30131541156734315,0.030384466825226646
7,1.0,0.5500084261193758,0.7393628676964614,0.030384466825226646,0.055462522444804575
8,1.0,0.40753387102886723,0.30131541156734315,0.5478378098555612,0.030384466825226646
9,1.0,0.07501394087804555,0.055462522444804575,0.030384466825226646,0.10083940501807291
10,1.0,0.40753387102886723,0.030384466825226646,0.5478378098555612,0.041095473079263034
11,1.0,0.07501394087804555,0.030384466825226646,0.041095473079263034,0.10083940501807291
12,1.0,0.30131541156734315,0.7393628676964614,0.40505093412735654,0.030384466825226646
13,1.0,0.055462522444804575,0.7393628676964614,0.030384466825226646,0.07455691167096733
14,1.0,0.30131541156734315,0.40505093412735654,0.5478378098555612,0.030384466825226646
15,1.0,0.055462522444804575,0.07455691167096733,0.030384466825226646,0.10083940501807291
16,1.0,0.041095473079263034,0.030384466825226646,0.5478378098555612,0.05524363879223895
17,1.0,0.041095473079263034,0.030384466825226646,0.05524363879223895,0.10083940501807291
18,1.0,0.030384466825226646,0.7393628676964614,0.40505093412735654,0.04084509519941727
19,1.0,0.030384466825226646,0.7393628676964614,0.04084509519941727,0.07455691167096733
20,1.0,0.030384466825226646,0.40505093412735654,0.5478378098555612,0.04084509519941727
21,1.0,0.030384466825226646,0.07455691167096733,0.04084509519941727,0.10083940501807291
22,1.0,0.030384466825226646,0.04084509519941727,0.5478378098555612,0.05524363879223895
23,1.0,0.030384466825226646,0.04084509519941727,0.05524363879223895,0.10083940501807291
24,0.7438951158488213,1.2020828288500636,0.5500084261193758,0.30131541156734315,0.030384466825226646
25,0.7438951158488213,1.2020828288500636,0.5500084261193758,0.030384466825226646,0.055462522444804575
26,0.7438951158488213,1.2020828288500636,0.30131541156734315,0.40753387102886723,0.030384466825226646
27,0.7438951158488213,1.2020828288500636,0.055462522444804575,0.030384466825226646,0.07501394087804555
