,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 1% Fit Estimates,Best Fit Estimate
p(walk),0.9996676247742619,9.780778196675424e-09,0.999667650396875,0.9996676056880908,0.9996676483550774
ptransc,0.39340419705734425,2.479521023810126e-05,0.3934611206640671,0.3933544848517061,0.3934427395514326
ptransc(NS1),0.30716411571158697,2.677370973463966e-05,0.3072257148307912,0.3071108326264099,0.3072199153485355
"ptransc(NS2, N)",0.23352249059344346,1.8763174669403012e-05,0.23356179081453518,0.23348579662485439,0.23355992493834213
ptransc(G),0.30584614937389504,2.4725724932685724e-05,0.3059201197026632,0.3057901059306246,0.3058585750572323
ptransc(L),0.9999999579915542,2.876435932002894e-07,1.0,0.9999972523897427,1.0
