,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit NMSE
p(walk),0.9998221102634212,2.8849449543312446e-08,0.9998221729975748,0.9998220736073807,0.9998221729688626,5.634628218042104
ptransc,0.06081801282837176,5.313096459824523e-05,0.06093300761468751,0.06074864060324661,0.06093270672850777,5.634628218042104
