,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit NMSE
p(walk),0.9999149344485552,4.167696897202307e-10,0.9999149351488421,0.9999149334627191,0.9999149351488421,0.0005456042424091497
ptransc,0.8898562698358589,1.0613814914099318e-05,0.8898907134665044,0.8898408010169295,0.8898710578838851,0.0005456042424091497
