,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit NMSE
p(walk),0.9998614386220226,1.6157654918488267e-09,0.9998614424718169,0.9998614369163635,0.9998614424404837,14.250138231500463
ptransc,0.16778906630496185,1.406490070850677e-05,0.167818857977563,0.1677660187452901,0.16780480446019805,14.250138231500463
