,p_maintain,p_backtrack,Log Likelihood
VSV,0.9997023665595954,0.309291647274044,-105483.81844271094
MeV,0.9997144220762151,0.10601060142501806,-519124.71824577375
PIV2,0.9997001962866536,0.42432401051088664,-831545.1008297801
PIV3,0.9998412481476682,0.5838119300538719,-1053596.009075957
PIV5,0.9997424370426893,0.3611095724488488,-186400.6280789804
MuV,0.9997187285941025,0.09481915376352168,-796932.44967528
EBOV,0.999825767314066,1.0,-122128.78201116185
MV,0.999846946918497,0.8961677503942868,-23239.172321471302
RSV,0.9997444146830231,0.059070815402808036,-2262379.624613559
