,Virus,Mean,2.5% Quantile,50% Quantile,97.5% Quantile
0,VSV,0.9997018159509199,0.9996940965781282,0.9997015459647123,0.9997103781676343
1,MeV,0.9997146813297344,0.9997106028950992,0.9997145246371415,0.9997178991023006
2,PIV2,0.9996997175404899,0.9996984148313719,0.9996992086580677,0.9997020563028356
3,PIV3,0.9998416738620629,0.9998393242462187,0.9998416970449876,0.9998438452723822
4,PIV5,0.99974284231338,0.9997364100565129,0.9997421629006555,0.9997531226588909
5,MuV,0.9997190047583989,0.9997172116757583,0.9997188705184595,0.9997206242949142
6,EBOV,0.9998253076028697,0.9998196895006799,0.9998260416312983,0.9998297306041004
7,MV,0.9998433495935978,0.99983223370267,0.9998442469465553,0.9998537503370505
8,RSV,0.9997319797519115,0.9997300920893317,0.9997322070523326,0.9997343820939929
