,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit Log Likelihood
p(walk),0.9997444115238053,9.167755934273492e-10,0.9997444153739312,0.9997444109832296,0.9997444153739312,-2262379.624612914
ptransc,0.9409236317849391,4.971182271808213e-06,0.9409404740401353,0.940908434973037,0.9409239250230995,-2262379.624612914
