,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit Log Likelihood
p(walk),0.9998451256753207,8.85478633002257e-05,0.999992696768255,0.9996700054305598,0.9998413703295836,-23241.031630667385
ptransc,0.4324215518628106,0.29552936383720485,0.9162025574269039,0.002251874047760616,0.172693986089408,-23241.031630667385
