,Mean of Top 100 Fit Estimates,Std of Top 100 Fit Estimates,Max of Top 100 Fit Estimates,Min of Top 100 Fit Estimates,Best Fit Estimate,Best Fit Log Likelihood
p(walk),0.9997538397580499,0.00015115037450890315,0.9999916916989593,0.9994330821508038,0.9998386402959847,-122150.19473043559
ptransc,0.25485770387253437,0.16859187104760995,0.558547711621058,0.010876123451005637,0.03402853952754026,-122150.19473043559
